"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"5538",881816285857,0,0,0,1,1,5,1,1,35,2958.33333333333,2958.33333333333,-2711.63888888889,14,29.75,0,1,0,0,1,0
"5539",881816302363,347.657142857143,0,2,0,1,6,1,1,40,2606.91666666667,2606.91666666667,-2389.67361111111,13,27.25,5.85121677244971,1,1,0,0,0
"5540",881816302505,0,1,0,0,1,6,1,1,20.6666666666667,712.25,712.25,-652.895833333333,12,19.4166666666667,0,1,0,0,1,0
"5541",881816320770,651.857142857143,0,1,0,1,8,1,1,0,0,0,0,12,43.25,6.47982543187209,0,1,1,0,1
"5542",881816359108,0,0,0,3,1,6,1,1,0,0,0,0,7,39.5833333333333,0,0,0,1,0,0
"5543",881816359179,1086.42857142857,0,1,0,1,6,1,1,10,540.75,978.083333333333,-898.729166666667,8,37.125,6.99065105563808,0,1,1,0,1
"5544",881816359466,0,0,1,1,1,5,1,1,0,0,0,27.7777777777778,11,25.25,0,0,0,1,0,0
"5545",881816382053,3454.84285714286,0,1,0,1,6,1,1,0,0,0,0.0833333333333333,18,31.5,8.14753225243017,0,1,1,0,1
"5546",881816382280,0,0,0,1,1,6,1,1,0,0,0,0,7,39,0,0,0,1,0,0
"5547",881816400003,0,1,0,1,1,6,1,1,40,2966.33333333333,2966.33333333333,-2719.13888888889,13,37.25,0,1,0,0,1,0
"5548",881816400801,869.142857142857,1,0,0,1,5,1,1,5.25,1467.5,1467.5,-1345.20833333333,21,34.6666666666667,6.76750750432387,0,1,1,0,1
"5549",881816403467,347.657142857143,0,1,0,1,6,1,1,35,4127.75,4127.75,-3783.6875,13,29,5.85121677244971,1,1,0,0,0
"5550",881816403801,0,0,0,1,1,5,1,1,0,0,0,15,13,35.75,0,0,0,1,0,0
"5551",881816415003,0,0,0,1,1,6,1,1,0,0,0,0,12,38.4166666666667,0,0,0,1,0,0
"5552",881816415505,1086.42857142857,0,1,0,1,6,1,1,40,2642.25,2642.25,-2417.3125,12,44.3333333333333,6.99065105563808,1,1,0,0,0
"5553",881816438053,608.4,0,1,0,1,6,1,1,0,0,0,301.416666666667,12,24.6666666666667,6.41083256038514,0,1,1,0,1
"5554",881816438688,0,0,1,1,1,6,1,1,32,1112.5,1112.5,-990.291666666667,13,26.75,0,1,0,0,1,0
"5555",881816472161,0,0,0,1,1,6,1,1,40,2642.25,2642.25,-2422.0625,13,44.3333333333333,0,1,0,0,1,0
"5556",881816472363,651.857142857143,1,1,0,1,6,1,1,24,2980.58333333333,2980.58333333333,-2732.20138888889,18,31.5,6.47982543187209,1,1,0,0,0
"5557",881816472762,0,0,1,1,1,6,1,1,7.25,635.833333333333,635.833333333333,-547.930555555556,12,32.3333333333333,0,0,0,1,0,0
